StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q8,Q5,Q7,Q10,Q9,Q2,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q19,Q19_1_TEXT,Q3,Q20,Q21_1,Q21_2,Q21_3,Q20,Q22_1,Q22_2
2022-05-11 11:55:18,2022-05-11 11:55:18,Survey Test,,100,0,True,2022-05-11 11:55:18,R_bfKGoRo5X8eiRMy,,,,,43.0584,-71.4578,test,,Yes,18FADAY,Computer Science (BS),Joint Military Studies (Minor),Yes,Construction Management (Experience More),,No,"Nullam. Molestie iaculis auctor eget luctus id, eros! Cras pretium at aenean fusce.",Somewhat satisfied,Donec metus molestie. Molestie! Ligula platea pretium ab felis tortor potenti.,No,No,,,,,No,,No,,,,,No,,
2022-05-11 11:55:18,2022-05-11 11:55:18,Survey Test,,100,0,True,2022-05-11 11:55:18,R_erqPGvYAHz2hhsy,,,,,43.0584,-71.4578,test,,No,18SPDAY,Electrical Engineering (BS),Construction Science (Minor),Yes,Aeronautical Engineering (BS),Yes,No,Vulputate sagittis. Sed phasellus commodo malesuada augue. Venenatis per commodo vulputate rutrum.,Extremely satisfied,,No,No,,,,,No,,Yes,,,,,Yes,"Ultricies ac a primis, eget ab nonummy praesent porta venenatis, pellentesque vivamus.",Ultricies facilisis. Dolorem ridiculus ante! Sodales elit sem? Ultricies. Vestibulum ipsum metus? Sagittis.
2022-05-11 11:55:18,2022-05-11 11:55:18,Survey Test,,100,0,True,2022-05-11 11:55:18,R_9FZ6NCkd57EpOEm,,,,,43.0584,-71.4578,test,,No,20FADAY,Mechanical Engineering (BS),Robotics (Minor),Yes,Computer Science (BS),No,No,Molestie. Justo gravida aliquam sed natoque platea iaculis! Accusamus! Dui purus sagittis iaculis phasellus.,Somewhat dissatisfied,Vestibulum aliquet eu leo auctor urna justo facilisis quis faucibus tortor eget accumsan dolorem praesent.,No,No,,,,,No,,Yes,,,,,No,,
2022-05-11 11:55:18,2022-05-11 11:55:18,Survey Test,,100,0,True,2022-05-11 11:55:18,R_1NE5SiwNkyEFdLo,,,,,43.0584,-71.4578,test,,Yes,22FADAY,Aeronautical Engineering (BS),Construction Science (Minor),Yes,Mechanical Engineering (BS),,Yes,,Neither satisfied nor dissatisfied,Odio dolor magna praesent platea platea phasellus? Dapibus massa enim.,No,No,,,,,No,,Yes,,,,,No,,
2022-05-11 11:57:10,2022-05-11 11:57:11,Survey Test,,100,1,True,2022-05-11 11:57:11,R_4MKkMWjaQ2NNZwG,,,,,43.0584,-71.4578,test,,Yes,21SPDAY,Information Technology (BS),Army Studies (Minor),Yes,Aeronautical Engineering (BS),,Yes,,Somewhat dissatisfied,Erat culpa phasellus blandit eu per? Eu posuere tempor consectetuer.,Yes,Yes,Morbi et enim elit? Suspendisse dolorem ab tortor! Nonummy lectus luctus sit.,Ab felis platea sollicitudin nonummy ut. Eget sed felis wisi praesent vel accumsan bibendum.,Eu urna? Suspendisse. Dui dui aliquam leo viverra ante. Nonummy.,10,No,,No,,,,,No,,
2022-05-11 11:57:11,2022-05-11 11:57:11,Survey Test,,100,0,True,2022-05-11 11:57:11,R_eFoUAq6Hh9H0lTM,,,,,43.0584,-71.4578,test,,No,20SPDAY,Mechanical Engineering (BS),Outside of SETA,Yes,Computer Science (BS),No,Yes,,Somewhat satisfied,In laoreet porttitor sit vulputate erat praesent. Ipsum sit accusamus neque.,No,Yes,"Donec temporibus elit nibh molestie urna. Vestibulum gravida temporibus, gravida rhoncus.",Ipsum cras massa eleifend? Ipsum. Rutrum id urna vivamus? Dui. A.,"Placerat sit tortor dictumst dignissim natoque in suspendisse montes, non. Commodo placerat.",82,Yes,Euismod integer integer mattis blandit leo diam aenean ab et nec lacus tellus sit pede.,,,,,,No,,
2022-05-11 11:57:11,2022-05-11 11:57:11,Survey Test,,100,0,True,2022-05-11 11:57:11,R_71hlVsHhd8ICoaa,,,,,43.0584,-71.4578,test,,Yes,22FADAY,Information Technology (BS),Robotics (Minor),Yes,Computer Science (BS),,Partially,Mattis ut potenti facilisis vivamus interdum! Nibh convallis integer nullam in.,Somewhat satisfied,Proin tellus vulputate ridiculus tortor eget nec nunc et orci tempor vivamus.,No,Yes,"Aenean. Risus. Fringilla montes fusce viverra cursus non, mauris massa.",Fusce placerat purus facilisis odio at molestie consequat montes quam erat ac aliquam.,"Urna volutpat tincidunt vulputate aliquam arcu justo. Lectus, laoreet eros metus blandit.",11,No,,Yes,No,Molestie temporibus interdum egestas tincidunt cursus quis. Elit vestibulum potenti? Lectus.,Suspendisse! Purus euismod praesent. Elit laoreet montes. Est cras orci gravida ultricies.,Pede turpis placerat? Primis magnis natoque? Per tellus ut lacus diam consequat. Fermentum.,Yes,"Lectus in sollicitudin sagittis tincidunt, fringilla est? Viverra volutpat imperdiet ante. Ridiculus volutpat etiam, tellus.",Posuere. Convallis culpa felis nullam montes! Auctor. Magna accumsan elementum ultricies natoque erat etiam natoque.
2022-05-11 11:57:11,2022-05-11 11:57:12,Survey Test,,100,1,True,2022-05-11 11:57:12,R_em5UvyKJ6luj3Tw,,,,,43.0584,-71.4578,test,,Yes,22FADAY,Computer Science (BS),Army Studies (Minor),Yes,Aeronautical Engineering (BS),,Partially,Mauris sem auctor culpa sagittis justo velit turpis accusamus. Vulputate per.,Neither satisfied nor dissatisfied,Id. Metus eu integer tincidunt iaculis ultrices fringilla! Leo eros.,No,No,,,,,Yes,Molestie per augue maecenas ab temporibus turpis eleifend sollicitudin justo! Posuere.,,,,,,Yes,Urna suspendisse mattis. Orci placerat. Aenean est! Lacus tempus ullamcorper posuere sit! Curabitur! Tempus magnis.,"Tincidunt sapien sodales? Pretium orci est ligula praesent, bibendum vivamus facilisi lacus lacus! Cras."
2022-05-11 11:57:12,2022-05-11 11:57:12,Survey Test,,100,0,True,2022-05-11 11:57:12,R_6Flb6zCZVims30q,,,,,43.0584,-71.4578,test,,No,19SPDAY,Computer Science (BS),Robotics (Minor),No,,No,Partially,"Magna erat euismod placerat risus elementum per sem, dignissim ultrices accumsan.",Extremely satisfied,,No,No,,,,,No,,No,,,,,No,,
2022-05-11 11:57:12,2022-05-11 11:57:12,Survey Test,,100,0,True,2022-05-11 11:57:12,R_eJo49QNdNiELO7A,,,,,43.0584,-71.4578,test,,No,18FADAY,Construction Management (Experience More),Construction Science (Minor),Yes,Construction Management (Experience More),No,Yes,,Extremely dissatisfied,"Felis massa interdum at ridiculus? Natoque nibh, pellentesque maecenas tincidunt accumsan malesuada aliquam facilisis.",Yes,Yes,Ultricies sagittis molestie facilisis scelerisque placerat duis porta tempus accumsan.,"Tempor, facilisis dolorem lorem cursus orci nullam dui auctor vulputate temporibus! Erat cras.",In atque ridiculus? Atque neque imperdiet nulla! Ab. Eros? Primis curabitur vivamus.,68,Yes,Viverra accusamus rhoncus tortor gravida commodo luctus aliquet accusamus pellentesque luctus.,,,,,,Yes,"Sem? Enim ullamcorper elementum faucibus potenti tempus quam aliquam, porttitor tempora.",Temporibus morbi luctus gravida! Molestie pretium sapien placerat. Massa laoreet viverra urna consequat tempus.
2022-05-11 11:57:12,2022-05-11 11:57:13,Survey Test,,100,1,True,2022-05-11 11:57:13,R_eFAFz4AJ3EdazVc,,,,,43.0584,-71.4578,test,,Yes,20SPDAY,Computer Science (BS),Outside of SETA,No,,,Partially,"Viverra metus rhoncus mauris sed cras vel ut ante et primis, egestas amet.",Extremely dissatisfied,Facilisi eget. Proin nullam ac est? Turpis turpis montes montes facilisis rhoncus. Lorem. Dolorem.,Yes,Yes,Suspendisse primis tempus facilisi sed ipsum! Molestie luctus felis atque atque? Ac turpis vivamus.,Vitae. Ut? Nec purus praesent praesent accusamus purus porta ante risus at ridiculus eleifend.,"Ridiculus lorem ultrices porta quis platea, porttitor nec magna platea sollicitudin purus tempus vulputate elit.",100,No,,Yes,No,"Elit quis pede primis aenean atque dapibus, cras arcu neque et? Orci! Placerat.",Leo scelerisque. Iaculis iaculis. Metus euismod volutpat rhoncus neque pellentesque.,"In dictumst quis cursus, euismod ridiculus nullam nulla euismod suspendisse! Auctor.",Yes,Temporibus nibh eros molestie ante. Velit ligula ultrices integer! Erat vehicula aenean sit sollicitudin luctus.,"Enim est ac dignissim. Orci. Eleifend arcu, malesuada felis? Tortor."
2022-05-11 11:57:13,2022-05-11 11:57:13,Survey Test,,100,0,True,2022-05-11 11:57:13,R_d4jDrSN3g2AbO98,,,,,43.0584,-71.4578,test,,Yes,18SPDAY,Mechanical Engineering (BS),Joint Military Studies (Minor),Yes,Mechanical Engineering (BS),,Partially,Sodales felis egestas vivamus ante arcu elementum sollicitudin morbi lorem eros magna commodo maecenas.,Extremely satisfied,,No,No,,,,,No,,No,,,,,No,,
2022-05-11 11:57:13,2022-05-11 11:57:13,Survey Test,,100,0,True,2022-05-11 11:57:13,R_dgkRsJ86Fj5f2Tk,,,,,43.0584,-71.4578,test,,Yes,22FADAY,Aeronautical Engineering (BS),Robotics (Minor),Yes,Computer Science (BS),,Partially,"Fermentum consequat. Odio consectetuer montes leo, vel. Pretium? Leo pharetra tellus quam egestas purus mi.",Extremely dissatisfied,Placerat vel ridiculus! Placerat! Sodales in vehicula fringilla? Arcu vehicula purus. Platea. Commodo augue.,Yes,Yes,Cursus! Ligula posuere eleifend eros facilisi elit facilisis tortor eros.,"Sapien. Ultrices ultricies sed, vitae aenean pharetra at blandit! Dolor! Dui mi platea.",Accusamus aliquam! Purus! Vivamus placerat pharetra. Vulputate! Temporibus eu integer ipsum.,96,Yes,"Malesuada wisi imperdiet. Iaculis a accusamus vitae? Wisi. Lorem primis, molestie vitae imperdiet ridiculus.",,,,,,No,,
2022-05-11 11:57:13,2022-05-11 11:57:14,Survey Test,,100,1,True,2022-05-11 11:57:14,R_da0KPduOixAu2a2,,,,,43.0584,-71.4578,test,,No,21FADAY,Construction Management (Experience More),Construction Science (Minor),Yes,Mechanical Engineering (BS),Yes,No,Eget posuere. Augue wisi? Posuere dui etiam euismod accusamus auctor.,Neither satisfied nor dissatisfied,"Dui. Culpa, wisi vehicula ultricies justo pede fusce lorem quis per? Euismod. Laoreet, dolorem.",Yes,Yes,"Dapibus erat. Pellentesque eleifend magnis, natoque magnis viverra vestibulum ac convallis suspendisse. Metus, ultrices orci.",Felis euismod eget venenatis quis vel quis. Euismod venenatis rhoncus leo.,Ut aenean ultricies accumsan rhoncus vivamus magna interdum tincidunt natoque consectetuer dolorem arcu metus.,15,Yes,"Sodales cursus auctor phasellus est, ipsum sollicitudin sodales culpa vitae accusamus.",,,,,,Yes,Mattis. Ipsum amet a vulputate platea ac lacus quam lorem. Lacus ut.,"Ultrices! Sem consequat cursus ut consequat magna magnis malesuada atque elit id, sodales nibh."
